id,game_label,brand,master_path,master_start,master_end,playtag,phase,side,formation,notes,tag_right_left,score_impact,player,assist,src_hint
001,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,69,79,Corner,,,,,,,,,
002,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,155,168,Build & Shot,,,,,,,,,
003,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,188,203,Corner,,,,,,,,,
004,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,283,288,Free Kick,,,,,,,,,
005,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,364,379,Pressure & Shot,,,,,,,,,
006,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,544,564,"Build, Cross & Goal",,,,,,,,,
007,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,622,634,"Pressure, Build & Shot",,,,,,,,,
008,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,943,948,Free Kick,,,,,,,,,
009,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,1169,1186,Cross & Goal,,,,,,,,,
010,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,1408,1424,Pressure & Goal,,,,,,,,,
011,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,1473,1478,Free Kick,,,,,,,,,
012,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,1638,1645,Free Kick,,,,,,,,,
013,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,2193,2205,Goal,,,,,,,,,
014,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,2297,2309,Pressure & Shot,,,,,,,,,
015,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,2409,2420,Pressure & Shot,,,,,,,,,
016,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,2434,2460,Pressure & Shot,,,,,,,,,
017,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,2483,2493,Free Kick,,,,,,,,,
018,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,2580,2634,Build & Dribble,,,,,,,,,
019,2026-03-01__TSC_vs_North_OKC,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_North_OKC\MASTER.mp4,2688,2699,Corner,,,,,,,,,
